"","Player_Id","Player_Name","hard_Hitting_Ability_17","Finisher_17","Fast_Scoring_ability_17","Consistency_bat_17","RunsBetweenWicket_17","hard_Hitting_Ability_17_16","Finisher_17_16","Fast_Scoring_ability_17_16","Consistency_bat_17_16","RunsBetweenWicket_17_16","hard_Hitting_Ability_17_16_15","Finisher_17_16_15","Fast_Scoring_ability_17_16_15","Consistency_bat_17_16_15","RunsBetweenWicket_17_16_15","Economy_17","Wicket_Taking_Ability_17","Ball_Consistency_17","Crucial_Wicket_Taking_Ability_17","Short_Performance_Index_17","Economy_17_16","Wicket_Taking_Ability_17_16","Ball_Consistency_17_16","Crucial_Wicket_Taking_Ability_17_16","Short_Performance_Index_17_16","Economy_17_16_15","Wicket_Taking_Ability_17_16_15","Ball_Consistency_17_16_15","Crucial_Wicket_Taking_Ability_17_16_15","Short_Performance_Index_17_16_15"
"315",315,"SP Narine",1.45185185185185,0.142857142857143,1.65925925925926,18.6666666666667,0.307692307692308,2.28187919463087,0.294117647058824,1.5503355704698,19.25,-1.34567901234568,2.26666666666667,0.333333333333333,1.54,19.25,-1.32926829268293,7.12707182320442,36.2,43,0,0.666666666666667,7.26923076923077,29.7142857142857,36,0,0.807692307692308,7.44878048780488,29.2857142857143,36.3571428571429,0.0294117647058824,0.727272727272727
"316",316,"GB Hogg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.16666666666667,Inf,1.16666666666667,NA,NA,NA,NA,NA,9.30612244897959,24.5,38,0,0.8,8.16,17.3076923076923,23.5384615384615,0.0909090909090909,0.9
"317",317,"RR Bhatkal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",318,"CJ McKay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",319,"N Saini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",320,"DA Miller",0.48780487804878,0.25,1.01219512195122,27.6666666666667,0.581081081081081,0.678733031674208,0.235294117647059,1.10407239819005,18.7692307692308,0.492146596858639,0.727272727272727,0.133333333333333,1.21414141414141,24.04,0.569739952718676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",321,"Azhar Mahmood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0,0.75,6,-0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,Inf,Inf,0,0
"322",322,"P Negi",0.719298245614035,0.1,1.26315789473684,18,0.639175257731959,0.677966101694915,0.25,1.13559322033898,20.1,0.529411764705882,0.866141732283465,0.28,1.24803149606299,19.8125,0.461904761904762,6.42,12.5,13.375,0,1.33333333333333,7.03937007874016,14.9411764705882,17.5294117647059,0,1,7.78489702517163,19,24.6521739130435,0,0.851851851851852
"323",323,"RJ Peterson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,"KMDN Kulasekara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"A Ashish Reddy",NA,NA,NA,NA,NA,0.666666666666667,0.333333333333333,1.56666666666667,47,1.03846153846154,0.657894736842105,0.375,1.57894736842105,40,1.06060606060606,NA,NA,NA,NA,NA,10.695652173913,23,41,0,0.5,9.4,15,23.5,0,0.666666666666667
"326",326,"V Pratap Singh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",327,"BB Samantray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",328,"MJ Clarke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,"Gurkeerat Singh",NA,NA,NA,NA,NA,1.26436781609195,0,1.29885057471264,37.6666666666667,0.0461538461538462,1.09375,0,1.15625,18.5,0.08,NA,NA,NA,NA,NA,7.61538461538462,13,16.5,0,0.666666666666667,7.39024390243902,16.4,20.2,0,0.833333333333333
"330",330,"AP Majumdar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,"PA Reddy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,"K Upadhyay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,"P Awana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",334,"AD Russell",NA,NA,NA,NA,NA,0.8,0.125,1.504,31.3333333333333,0.838095238095238,1.5,0.263157894736842,1.71333333333333,39.5384615384615,0.304761904761905,NA,NA,NA,NA,NA,8.57142857142857,14.9333333333333,21.3333333333333,0.0833333333333333,1,8.44769874476987,16.4827586206897,23.2068965517241,0.04,1.04166666666667
"335",335,"A Chandila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",336,"CA Lynn",1.22285714285714,0.142857142857143,1.68571428571429,59,0.618320610687023,1.26262626262626,0.222222222222222,1.61616161616162,53.3333333333333,0.472972972972973,1.26262626262626,0.222222222222222,1.61616161616162,53.3333333333333,0.472972972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",337,"Sunny Gupta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",338,"MC Juneja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
